run_dir,stage,point_index,stiffness,sensitivity_norm,trajectory_sensitivity_norm
run_00TXXgea,derivmatch,6,3253.986828558203,0.20120448168550809,NaN
run_00TXXgea,derivmatch,7,1993.3122338345288,0.19916798457000867,NaN
run_00TXXgea,derivmatch,8,481.4127711500098,0.19782427043245382,NaN
run_00TXXgea,derivmatch,9,639.724542836426,0.19884867074137372,NaN
run_00TXXgea,derivmatch,10,930.4424801138623,0.20311995588204287,NaN
run_00TXXgea,derivmatch,11,425.19013181955177,0.2092331229946353,NaN
run_00TXXgea,derivmatch,12,224.88537744575274,0.21677293888843022,NaN
run_00TXXgea,derivmatch,13,663.6472599070343,0.22692192671399394,NaN
run_00TXXgea,derivmatch,14,742.1655320865672,0.237758157740963,NaN
run_00TXXgea,derivmatch,15,719.5831854766307,0.24657785478656202,NaN
run_00TXXgea,derivmatch,16,762.4969434381773,0.2522186895107399,NaN
